year,make,model,mileage,price,dealer contact
2022,Mitsubishi,Outlander ES,"21,775","$22,799 ",(315) 367-4463
2017,Chevrolet,Trax LS,"97,088","$5,875 ",Buy Online
2020,GMC,Terrain Denali,"36,528","$24,999 ",(315) 607-8445
2021,Dodge,Durango GT,"21,618","$33,800 ",(315) 607-8445
2024,Ford,Edge Titanium,"21,278","$31,395 ",(315) 236-4102
2024,Toyota,Highlander LE,"21,075","$38,985 ",(315) 236-4102
2023,Jeep,Wagoneer L Series II,"40,611","$45,785 ",(315) 236-4102
2019,Lincoln,MKC Select,"44,000","$19,888 ",(315) 883-1441
2021,Ford,Bronco Sport Badlands,"39,381","$28,179 ",(315) 715-7055
2021,Ford,Bronco Sport Badlands,"39,381","$28,179 ",(315) 715-7055
2022,Ford,Explorer XLT,"33,044","$31,990 ",(315) 715-7055
2025,Nissan,Rogue SV,6,"$34,897 ",(315) 800-0203
2022,Ford,Explorer XLT,"30,775","$31,994 ",(315) 715-7055
2022,Ford,Explorer ST,"31,457","$39,798 ",(315) 715-7055
2022,Chevrolet,Equinox LS,"21,856","$20,999 ",(680) 697-7534
2022,Chevrolet,Equinox LS,"11,174","$21,999 ",(680) 697-7534
2022,Hyundai,Kona SEL,"10,702","$22,299 ",(680) 697-7534
2022,Mitsubishi,Outlander SE,"29,594","$23,999 ",(680) 697-7534
2022,Mazda,CX-5 AWD 2.5 Turbo,"27,199","$27,499 ",(680) 697-7534
2021,Toyota,Venza XLE,"30,736","$29,499 ",(680) 697-7534
2022,Ford,Explorer XLT,"27,906","$29,499 ",(680) 697-7534
2020,Cadillac,XT4 Sport,"32,100","$24,500 ",(833) 464-7779
2020,Cadillac,XT5 Premium Luxury,"46,662","$26,000 ",(833) 464-7779
2021,Lincoln,Corsair AWD,"41,614","$26,900 ",(833) 464-7779
2022,Cadillac,XT5 Luxury,"25,943","$29,306 ",(833) 464-7779
2022,Cadillac,XT5 Premium Luxury,"18,461","$32,900 ",(833) 464-7779
2023,Toyota,Highlander Platinum,"11,268","$44,995 ",(833) 464-7779
2023,Jeep,Compass Limited,"7,933","$28,155 ",(315) 887-4147
2023,Jeep,Wagoneer L Series III,"14,998","$65,998 ",(315) 887-4147
2022,GMC,Acadia Denali,"25,968","$35,828 ",(315) 565-2713
2023,Honda,CR-V LX,"17,577","$28,817 ",(680) 697-7301
2023,Toyota,Sienna Platinum,"27,096","$54,727 ",(680) 697-7301
2021,Jeep,Cherokee Limited,"25,959","$25,300 ",(315) 967-2151
2022,Ford,Bronco Sport Big Bend,"26,564","$24,995 ",(315) 961-9175
2021,Toyota,Highlander L,"10,069","$30,995 ",(315) 961-9175
2022,Ford,Explorer Timberline,"28,975","$35,897 ",(315) 203-9004
2022,Ford,Explorer Timberline,"28,975","$35,897 ",(315) 203-9004
2017,Jaguar,F-PACE Premium,"98,000","$12,900 ",Buy Online
2025,Hyundai,Tucson SEL,12,"$34,799 ",(607) 288-0011
2023,Chevrolet,Equinox RS,"25,849","$22,950 ",(315) 967-2111
2022,Chevrolet,Trax LT,"22,342","$19,490 ",(315) 966-7252
2022,Chevrolet,Equinox RS,"26,147","$23,990 ",(315) 966-7252
2022,Chevrolet,Equinox Premier,"27,083","$25,490 ",(315) 966-7252
2022,Honda,CR-V EX-L,"42,956","$27,995 ",(315) 401-0205
2022,Honda,Passport Elite,"31,628","$33,995 ",(315) 401-0205
2020,Chevrolet,Equinox LT,"31,761","$20,323 ",(315) 690-4172
2024,GMC,Terrain SLE,"14,063","$27,300 ",(315) 660-2201
2021,Chevrolet,Equinox Premier,"27,454","$24,396 ",(315) 949-3739
2022,Land Rover,Discovery Sport S,"28,818","$25,555 ",(315) 849-9931
2024,Honda,HR-V Sport,"9,184","$25,988 ",(315) 849-9931
2022,Honda,CR-V EX,"11,017","$28,888 ",(315) 849-9931
2023,Tesla,Model Y Long Range,"21,659","$30,922 ",(315) 849-9931
2022,Chevrolet,Equinox LT,"36,262","$21,587 ",(315) 641-7444
2022,Chevrolet,Equinox LT,"24,075","$22,957 ",(315) 641-7444
2022,Toyota,RAV4 LE,"30,580","$26,654 ",(680) 697-7330
2021,Toyota,Venza XLE,"24,230","$31,177 ",(680) 697-7330
2024,Toyota,RAV4 XLE,"6,995","$33,987 ",(680) 697-7330
2022,Toyota,Highlander XLE,"31,754","$40,563 ",(680) 697-7330
2020,Jeep,Renegade Trailhawk,"44,816","$18,811 ",(315) 915-4141
2020,Chevrolet,Equinox LS,"36,511","$18,911 ",(315) 915-4141
2021,Jeep,Renegade Latitude,"24,080","$20,214 ",(315) 915-4141
2019,Volkswagen,Atlas S,"56,562","$20,347 ",(315) 915-4141
2022,Chevrolet,Equinox LT,"34,501","$22,600 ",(315) 915-4141
2022,Chevrolet,Equinox LT,"34,501","$22,600 ",(315) 915-4141
2021,Mazda,CX-5 Grand Touring,"48,375","$23,646 ",(315) 752-5643
2025,Subaru,Forester Premium,1,"$34,567 ",(680) 697-7334
2022,Mitsubishi,Outlander SE,"24,771","$24,990 ",(315) 915-4141
2021,Mazda,CX-5 Carbon Edition,"33,396","$25,353 ",(315) 752-5643
2022,Mazda,CX-5 AWD 2.5 S,"30,569","$25,769 ",(315) 752-5643
2021,Lincoln,Corsair AWD,"38,888","$25,990 ",(315) 915-4141
2022,Mazda,CX-5 AWD 2.5 S,"15,445","$26,276 ",(315) 752-5643
2022,Mazda,CX-5 AWD 2.5 S,"24,645","$26,544 ",(315) 752-5643
2022,Mazda,CX-5 AWD 2.5 S,"24,040","$26,699 ",(315) 752-5643
2018,Maserati,Levante,"21,533","$26,990 ",(315) 915-4141
2022,Mazda,CX-5 AWD 2.5 S,"12,408","$27,795 ",(315) 752-5643
2023,Kia,Sportage X-Line,"6,783","$27,849 ",(315) 915-4141
2023,Toyota,RAV4 LE,"18,520","$28,015 ",(315) 915-4141
2024,Kia,Sportage X-Line,"9,941","$28,316 ",(315) 915-4141
2022,Kia,Sorento S,"23,320","$28,739 ",(315) 915-4141
2022,GMC,Acadia SLE,"26,275","$29,000 ",(315) 288-7819
2018,Jeep,Wrangler Unlimited Rubicon,"26,062","$30,211 ",(315) 915-4141
2024,Mazda,CX-5 AWD 2.5 S,"3,630","$30,864 ",(315) 752-5643
2022,Ford,Explorer XLT,"21,668","$30,990 ",(315) 915-4141
2021,GMC,Acadia Denali,"29,806","$33,990 ",(315) 288-7819
2022,Toyota,Highlander XLE,"42,141","$35,457 ",(315) 915-4141
2021,Ford,Bronco Big Bend,"25,797","$35,990 ",(315) 915-4141
2022,Jeep,Grand Cherokee Overland,"43,475","$36,490 ",(315) 915-4141
2022,Toyota,Highlander XLE,"29,878","$37,561 ",(315) 915-4141
2023,Chevrolet,Tahoe LS,"6,884","$49,697 ",(315) 288-7819
2021,Chevrolet,Trax LT,"49,884","$16,995 ",(315) 812-6913
2021,Chevrolet,Trax LT,"49,884","$16,995 ",(315) 812-6913
2024,Mazda,CX-90 3.3 Turbo,"20,800","$35,495 ",(315) 812-6913
2025,Cadillac,XT4 Premium Luxury,1,"$45,610 ",(315) 885-5913
2018,Chevrolet,Equinox LT,"71,545","$15,595 ",(315) 660-2619
2023,GMC,Terrain Denali,"28,230","$30,995 ",(315) 660-2619
2022,Ford,Escape SE,"24,867","$22,995 ",(315) 916-6751
2023,Ford,Transit 250 Low Roof AWD,"17,803","$38,995 ",(315) 916-6751
2024,Ford,Mustang Mach-E Premium,"12,050","$41,995 ",(315) 916-6751
2024,Cadillac,XT6 Sport,"8,719","$52,895 ",(315) 916-6751
2023,Lincoln,Navigator L Reserve,"23,996","$68,996 ",(315) 916-6751
2024,Ford,Expedition Max Platinum,"12,428","$71,895 ",(315) 916-6751
2021,Jeep,Wrangler Unlimited Sport,"55,215","$26,500 ",(680) 697-7333
2022,Lexus,RX 350 AWD,"44,727","$37,000 ",(680) 697-7333
2022,Chevrolet,Equinox LT,"25,831","$23,615 ",(315) 978-1015
2024,Chevrolet,Equinox RS,"2,293","$30,200 ",(315) 978-1015
2022,Dodge,Durango R/T,"44,145","$35,266 ",(315) 693-3766
2022,Tesla,Model Y Performance,"67,000","$40,000 ",Buy Online
2023,Chevrolet,Equinox LT,"25,528","$22,999 ",(315) 367-4463
2020,Chevrolet,Traverse Premier,"40,113","$31,999 ",(315) 367-4463
2024,Jeep,Compass Limited,489,"$28,698 ",(315) 878-7271
2024,Jeep,Compass Limited,557,"$29,868 ",(315) 878-7271
2021,Chrysler,Pacifica Touring-L,"103,322","$19,599 ",(315) 236-4102
2020,Toyota,RAV4 XLE,"27,832","$26,444 ",(315) 883-1441
2022,Hyundai,Santa Fe SEL Convenience,"17,885","$26,588 ",(315) 883-1441
2023,Tesla,Model Y Long Range,"14,640","$34,555 ",(315) 883-1441
2022,Volvo,XC40 T5 Inscription,"17,613","$35,888 ",(315) 883-1441
2023,Tesla,Model Y Performance,"16,819","$36,333 ",(315) 883-1441
2021,Chevrolet,Trax LT,"49,884","$16,995 ",(315) 812-6913
2024,Mazda,CX-90 3.3 Turbo,"20,800","$35,495 ",(315) 812-6913
2025,Cadillac,XT4 Premium Luxury,1,"$45,610 ",(315) 885-5913
2018,Chevrolet,Equinox LT,"71,545","$15,595 ",(315) 660-2619
2023,GMC,Terrain Denali,"28,230","$30,995 ",(315) 660-2619
2022,Ford,Escape SE,"24,867","$22,995 ",(315) 916-6751
2023,Ford,Transit 250 Low Roof AWD,"17,803","$38,995 ",(315) 916-6751
2024,Ford,Mustang Mach-E Premium,"12,050","$41,995 ",(315) 916-6751
2024,Cadillac,XT6 Sport,"8,719","$52,895 ",(315) 916-6751
2023,Lincoln,Navigator L Reserve,"23,996","$68,996 ",(315) 916-6751
2024,Ford,Expedition Max Platinum,"12,428","$71,895 ",(315) 916-6751
2021,Jeep,Wrangler Unlimited Sport,"55,215","$26,500 ",(680) 697-7333
2022,Lexus,RX 350 AWD,"44,727","$37,000 ",(680) 697-7333
2022,Chevrolet,Equinox LT,"25,831","$23,615 ",(315) 978-1015
2024,Chevrolet,Equinox RS,"2,293","$30,200 ",(315) 978-1015
2022,Dodge,Durango R/T,"44,145","$35,266 ",(315) 693-3766
2022,Tesla,Model Y Performance,"67,000","$40,000 ",Buy Online
2023,Chevrolet,Equinox LT,"25,528","$22,999 ",(315) 367-4463
2020,Chevrolet,Traverse Premier,"40,113","$31,999 ",(315) 367-4463
2024,Jeep,Compass Limited,489,"$28,698 ",(315) 878-7271
2024,Jeep,Compass Limited,557,"$29,868 ",(315) 878-7271
2021,Chrysler,Pacifica Touring-L,"103,322","$19,599 ",(315) 236-4102
2020,Toyota,RAV4 XLE,"27,832","$26,444 ",(315) 883-1441
2022,Hyundai,Santa Fe SEL Convenience,"17,885","$26,588 ",(315) 883-1441
2023,Tesla,Model Y Long Range,"14,640","$34,555 ",(315) 883-1441
2022,Volvo,XC40 T5 Inscription,"17,613","$35,888 ",(315) 883-1441
2023,Tesla,Model Y Performance,"16,819","$36,333 ",(315) 883-1441
2023,Tesla,Model Y Performance,"16,819","$36,333 ",(315) 883-1441
2024,Ford,Escape Active,"7,390","$29,990 ",(315) 800-0686
2025,Hyundai,Tucson SEL,11,"$35,399 ",(607) 288-0011
2024,Chevrolet,Equinox RS,"8,006","$28,999 ",(680) 697-7534
2022,Cadillac,XT5 Premium Luxury,"31,838","$31,962 ",(833) 464-7779
2022,Cadillac,XT6 Premium Luxury,"42,980","$34,000 ",(833) 464-7779
2023,Chevrolet,Blazer RS,"13,383","$35,000 ",(833) 464-7779
2022,Cadillac,XT6 Premium Luxury,"24,358","$38,500 ",(833) 464-7779
2021,Cadillac,Escalade Premium Luxury,"48,170","$62,000 ",(833) 464-7779
2022,Cadillac,Escalade ESV Premium Luxury,"37,899","$67,500 ",(833) 464-7779
2024,Subaru,Impreza 2.0i Sport,"2,470","$24,999 ",(315) 949-5313
2021,Subaru,Forester Touring,"16,455","$29,499 ",(315) 949-5313
2024,Subaru,Crosstrek 2.5i Limited,"4,195","$30,999 ",(315) 949-5313
2024,Subaru,Ascent Touring,1,"$43,700 ",(315) 949-5313
2023,Jeep,Compass High Altitude,"34,321","$24,998 ",(315) 887-4147
2017,Subaru,Forester 2.5i Premium,"83,625","$14,995 ",(315) 704-1038
2020,Kia,Sportage EX,"29,002","$18,995 ",(315) 704-1038
2024,Jeep,Compass Limited,"7,047","$28,995 ",(315) 704-1038
2021,Dodge,Durango GT,"39,402","$30,995 ",(315) 704-1038
2022,Chevrolet,Equinox LT,"29,004","$22,592 ",(315) 565-2713
2022,Chevrolet,Equinox LT,"23,453","$23,293 ",(315) 565-2713
2024,Hyundai,Kona SEL,"9,552","$24,885 ",(680) 697-7307
2022,Subaru,Forester Wilderness,"23,471","$29,995 ",(315) 704-1032
2022,Honda,Pilot Special Edition,"21,537","$34,995 ",(315) 704-1032
2022,Mazda,CX-30 AWD 2.5 S,"8,571","$26,295 ",Seller's Number Needed
2023,Mazda,CX-30 2.5 Turbo,"10,970","$27,795 ",Seller's Number Needed
2024,Mazda,CX-30 Carbon,"5,100","$28,995 ",Seller's Number Needed
2024,Mazda,CX-30 Carbon,"5,100","$28,995 ",Seller's Number Needed
2021,Jeep,Wrangler Unlimited Sport,"27,330","$29,995 ",Seller's Number Needed
2025,Ford,Escape Active,1,"$31,225 ",(315) 370-9554
2018,Toyota,4Runner SR5 Premium,"28,396","$33,995 ",Seller's Number Needed
2020,Kia,Sportage EX,"37,465","$18,995 ",(315) 728-9952
2022,Toyota,RAV4 XLE,"21,401","$28,995 ",(315) 728-9952
2022,Lexus,RX 450h AWD,"18,866","$46,995 ",(315) 728-9952
2024,Jeep,Wrangler Rubicon,"1,677","$48,995 ",(315) 728-9952
2020,Chevrolet,Equinox LT,"45,435","$19,745 ",(680) 697-7301
2019,Chevrolet,Traverse Premier,"52,997","$27,752 ",(680) 697-7301
2022,Toyota,RAV4 XLE Premium,"26,956","$31,995 ",(315) 961-9175
2018,Subaru,Outback 3.6R Touring,"50,972","$21,500 ",(315) 816-4534
2022,Toyota,RAV4 LE,"23,198","$30,800 ",(315) 836-4058
2022,Mercedes-Benz,GLE 350 4MATIC,"34,568","$47,995 ",(315) 400-6214
2022,Ford,EcoSport Titanium,"19,424","$19,995 ",(315) 400-1910
2022,Ford,Explorer XLT,"18,009","$32,995 ",(315) 400-1910
2024,Ford,Explorer XLT,"7,835","$36,995 ",(315) 400-1910
2022,GMC,Acadia Denali,"26,523","$37,995 ",(315) 400-1910
2017,GMC,Yukon Denali,"80,080","$29,999 ",(315) 904-2303
2022,Jeep,Grand Cherokee Limited,"32,600","$32,995 ",(315) 400-0822
2024,Mazda,CX-50 Meridian Edition,"11,059","$34,995 ",(315) 400-0822
2022,Honda,HR-V Sport,"13,632","$23,985 ",(315) 967-2111
2023,Buick,Encore GX Select,"10,397","$24,629 ",(315) 967-2111
2023,Toyota,RAV4 LE,"28,674","$26,277 ",(315) 967-2111
2024,Lexus,GX 550,"1,915","$95,599 ",Buy Online
2020,MINI,Cooper Clubman S,"43,047","$20,000 ",(315) 712-3123
2019,Jeep,Wrangler Unlimited Sahara,"65,844","$25,500 ",(315) 712-3123
2022,Chevrolet,Equinox Premier,"27,133","$26,000 ",(315) 712-3123
2025,Acura,Integra A-Spec,1,"$36,795 ",(315) 800-0975
2021,Chevrolet,Tahoe RST,"50,382","$47,000 ",(315) 712-3123
2021,Honda,Passport Elite,"39,997","$30,995 ",(315) 401-0205
2019,Cadillac,XT5 Luxury,"55,159","$23,926 ",(315) 690-4172
2019,Cadillac,XT4 Premium Luxury,"41,869","$24,766 ",(315) 690-4172
2023,Chevrolet,Blazer LT,"18,147","$34,590 ",(315) 660-2201
2019,Buick,Envision Premium,"15,642","$24,796 ",(315) 949-3739
2022,Chevrolet,Equinox Premier,"22,084","$24,948 ",(315) 949-3739
2022,Buick,Envision Preferred,"21,906","$26,499 ",(315) 949-3739
2023,Buick,Envision Preferred,"14,017","$29,497 ",(315) 949-3739
2024,GMC,Terrain SLT,"11,578","$29,999 ",(315) 949-3739
2021,Kia,Seltos EX,"28,206","$19,855 ",(315) 849-9931
2022,Kia,Sportage LX,"25,210","$20,388 ",(315) 849-9931
2023,Kia,Sportage X-Line,"22,309","$26,655 ",(315) 849-9931
2021,Honda,Passport EX-L,"48,043","$28,188 ",(315) 849-9931
2022,Honda,CR-V EX-L,"23,948","$30,288 ",(315) 849-9931
2022,Honda,CR-V EX-L,"22,580","$30,322 ",(315) 849-9931
2022,Chevrolet,Equinox RS,"30,727","$25,840 ",(315) 641-7444
2022,Chevrolet,Equinox RS,"30,200","$26,447 ",(315) 641-7444
2023,BMW,X6 xDrive40i,"26,970","$56,200 ",(680) 207-3686
2021,Jeep,Renegade Latitude,"44,097","$19,182 ",(315) 915-4141
2020,Jeep,Compass Latitude,"33,716","$20,511 ",(315) 915-4141
2022,Volkswagen,Taos S,"19,431","$21,229 ",(315) 915-4141
2022,Hyundai,Kona SEL,"22,324","$21,516 ",(315) 915-4141
2022,Chevrolet,Equinox LS,"25,721","$21,609 ",(315) 915-4141
2022,Chevrolet,Equinox LS,"25,721","$21,609 ",(315) 915-4141
2022,Buick,Encore GX Select,"24,210","$21,664 ",(315) 915-4141
2025,Nissan,Rogue SV,35,"$35,065 ",(315) 800-0203
2022,Mitsubishi,Eclipse Cross SEL,"21,160","$23,000 ",(315) 915-4141
2022,Mazda,CX-30 AWD 2.5 S,"11,745","$23,022 ",(315) 915-4141
2022,Volkswagen,Tiguan SE,"41,619","$23,453 ",(315) 915-4141
2020,Volkswagen,Atlas Cross Sport SE,"50,973","$24,070 ",(315) 915-4141
2022,Hyundai,Tucson SEL,"29,175","$24,910 ",(315) 915-4141
2022,Hyundai,Tucson SEL,"21,398","$24,951 ",(315) 915-4141
2020,Lincoln,Corsair AWD,"47,714","$24,990 ",(315) 915-4141
2022,Hyundai,Tucson SEL,"23,653","$24,991 ",(315) 915-4141
2022,Hyundai,Tucson SEL,"25,683","$24,998 ",(315) 915-4141
2023,Ford,Escape ST-Line,"19,855","$25,041 ",(315) 915-4141
2021,Jeep,Cherokee Trailhawk,"34,774","$25,095 ",(315) 915-4141
2021,Lincoln,Corsair AWD,"45,765","$25,350 ",(315) 915-4141
2022,Chevrolet,Blazer LT,"27,838","$26,147 ",(315) 915-4141
2022,Hyundai,Santa Fe SEL,"12,291","$26,991 ",(315) 915-4141
2022,Jeep,Cherokee Trailhawk,"29,072","$27,290 ",(315) 915-4141
2020,Jeep,Wrangler Unlimited Sport S,"40,085","$27,490 ",(315) 915-4141
2023,Mazda,CX-50 2.5 S,"22,398","$27,744 ",(315) 752-5643
2022,Jeep,Grand Cherokee Limited,"28,155","$30,990 ",(315) 915-4141
2021,Lincoln,Nautilus Reserve,"30,292","$32,150 ",(315) 915-4141
2021,Lincoln,Nautilus Reserve,"37,554","$32,190 ",(315) 915-4141
2023,Mazda,CX-50 AWD 2.5 Turbo,"21,415","$32,775 ",(315) 752-5643
2021,Toyota,Highlander XLE,"38,581","$35,977 ",(315) 915-4141
2022,Toyota,4Runner SR5,"30,218","$36,911 ",(315) 915-4141
2024,Audi,Q3 2.0T Premium Plus,"7,487","$37,990 ",(315) 915-4141
2021,Porsche,Macan S,"25,002","$52,990 ",(315) 915-4141
2025,Subaru,Forester Limited,11,"$40,245 ",(680) 697-7334
2022,Chevrolet,Tahoe RST,"40,545","$54,904 ",(315) 915-4141
2021,Cadillac,Escalade ESV Premium Luxury,"58,307","$60,891 ",(315) 915-4141
2023,Cadillac,Escalade Premium Luxury,"26,810","$73,161 ",(315) 915-4141
2019,Volkswagen,Tiguan SEL Premium,"40,014","$22,899 ",(315) 670-1477
2021,Jeep,Compass Latitude,"42,236","$19,995 ",(315) 812-6913
2023,Chevrolet,Equinox LT,"27,842","$22,795 ",(315) 812-6913
2023,Toyota,RAV4 XLE,"28,988","$29,975 ",(315) 812-6913
2018,Nissan,Rogue Sport S,"62,902","$15,795 ",(315) 660-2619
2022,Chevrolet,Blazer RS,"18,797","$32,214 ",(315) 816-5056
2021,GMC,Acadia Denali,"26,738","$34,306 ",(315) 816-5056
2021,Ford,Expedition Max Limited,"46,832","$45,987 ",(315) 916-6751
2021,Chevrolet,TrailBlazer RS,"54,331","$20,536 ",(315) 978-1015
2024,Chevrolet,Blazer RS,"9,051","$37,493 ",(315) 978-1015
2024,Chevrolet,Blazer RS,"8,302","$38,600 ",(315) 978-1015
2020,Chevrolet,Equinox LS,"31,669","$19,526 ",(315) 325-0285
2022,Ford,Explorer King Ranch,"15,501","$42,367 ",(315) 325-0285
2022,Chevrolet,Trax LT,"25,501","$19,347 ",(315) 878-7941
2018,Dodge,Durango R/T,"85,765","$25,999 ",(315) 878-7271
2024,Jeep,Compass Limited,"4,628","$32,300 ",(315) 878-7271
2024,Jeep,Compass Trailhawk,"1,483","$32,704 ",(315) 878-7271
2024,Jeep,Compass Trailhawk,"2,030","$34,145 ",(315) 878-7271
2018,Subaru,Forester 2.5i Limited,"56,524","$18,950 ",(315) 810-1235
2022,Chevrolet,Trax LT,"23,338","$19,450 ",(315) 696-1073
2022,Toyota,Highlander Platinum,"43,512","$40,567 ",(315) 883-1441
